| N/A   36C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   36C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   36C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   36C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   36C    P8    11W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   36C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   36C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   36C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   36C    P8     9W /  70W |     15MiB / 15109MiB |      1%      Default |
| N/A   37C    P0    26W /  70W |    136MiB / 15109MiB |      8%      Default |
| N/A   37C    P0    26W /  70W |    180MiB / 15109MiB |      8%      Default |
| N/A   37C    P0    26W /  70W |    218MiB / 15109MiB |      2%      Default |
| N/A   37C    P0    26W /  70W |    256MiB / 15109MiB |      2%      Default |
| N/A   37C    P0    26W /  70W |    302MiB / 15109MiB |      2%      Default |
| N/A   37C    P0    26W /  70W |    344MiB / 15109MiB |      2%      Default |
| N/A   37C    P0    26W /  70W |    384MiB / 15109MiB |      3%      Default |
| N/A   37C    P0    26W /  70W |    424MiB / 15109MiB |      2%      Default |
| N/A   37C    P0    26W /  70W |    476MiB / 15109MiB |      2%      Default |
| N/A   37C    P0    26W /  70W |    516MiB / 15109MiB |      3%      Default |
| N/A   37C    P0    26W /  70W |    562MiB / 15109MiB |      3%      Default |
| N/A   37C    P0    26W /  70W |    596MiB / 15109MiB |      2%      Default |
| N/A   37C    P0    29W /  70W |   3164MiB / 15109MiB |      2%      Default |
| N/A   37C    P0    26W /  70W |   3164MiB / 15109MiB |     34%      Default |
| N/A   37C    P0    29W /  70W |   3164MiB / 15109MiB |     12%      Default |
| N/A   37C    P0    27W /  70W |   3164MiB / 15109MiB |     20%      Default |
| N/A   37C    P0    26W /  70W |   3164MiB / 15109MiB |     14%      Default |
| N/A   37C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   37C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   37C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   37C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   37C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   37C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
| N/A   38C    P0    26W /  70W |   3164MiB / 15109MiB |      0%      Default |
