| N/A   38C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   38C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   38C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   38C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   38C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   38C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   38C    P8    10W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   38C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   38C    P8    13W /  70W |     15MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    128MiB / 15109MiB |      6%      Default |
| N/A   39C    P0    26W /  70W |    176MiB / 15109MiB |      3%      Default |
| N/A   39C    P0    26W /  70W |    218MiB / 15109MiB |      2%      Default |
| N/A   39C    P0    26W /  70W |    258MiB / 15109MiB |      2%      Default |
| N/A   39C    P0    26W /  70W |    304MiB / 15109MiB |      2%      Default |
| N/A   39C    P0    26W /  70W |    352MiB / 15109MiB |      2%      Default |
| N/A   39C    P0    26W /  70W |    396MiB / 15109MiB |      3%      Default |
| N/A   39C    P0    26W /  70W |    438MiB / 15109MiB |      2%      Default |
| N/A   39C    P0    26W /  70W |    482MiB / 15109MiB |      2%      Default |
| N/A   39C    P0    26W /  70W |    530MiB / 15109MiB |      3%      Default |
| N/A   39C    P0    26W /  70W |    570MiB / 15109MiB |      4%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      2%      Default |
| N/A   39C    P0    27W /  70W |    824MiB / 15109MiB |     24%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |    824MiB / 15109MiB |      0%      Default |
