| N/A   39C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   39C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   39C    P8    11W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   39C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   39C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   39C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   39C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   39C    P8     9W /  70W |      0MiB / 15109MiB |      0%      Default |
| N/A   39C    P8    10W /  70W |     15MiB / 15109MiB |      0%      Default |
| N/A   39C    P0    26W /  70W |    124MiB / 15109MiB |      3%      Default |
| N/A   39C    P0    26W /  70W |    164MiB / 15109MiB |      2%      Default |
| N/A   40C    P0    26W /  70W |    208MiB / 15109MiB |      2%      Default |
| N/A   40C    P0    26W /  70W |    244MiB / 15109MiB |      2%      Default |
| N/A   40C    P0    26W /  70W |    298MiB / 15109MiB |      2%      Default |
| N/A   40C    P0    26W /  70W |    342MiB / 15109MiB |      2%      Default |
| N/A   40C    P0    26W /  70W |    388MiB / 15109MiB |      4%      Default |
| N/A   40C    P0    26W /  70W |    436MiB / 15109MiB |      3%      Default |
| N/A   40C    P0    26W /  70W |    474MiB / 15109MiB |      2%      Default |
| N/A   40C    P0    26W /  70W |    516MiB / 15109MiB |      2%      Default |
| N/A   40C    P0    26W /  70W |    560MiB / 15109MiB |      2%      Default |
| N/A   40C    P0    26W /  70W |   1860MiB / 15109MiB |      3%      Default |
| N/A   40C    P0    41W /  70W |   3164MiB / 15109MiB |      6%      Default |
| N/A   40C    P0    26W /  70W |   3164MiB / 15109MiB |     32%      Default |
| N/A   40C    P0    26W /  70W |   3164MiB / 15109MiB |     14%      Default |
| N/A   40C    P0    29W /  70W |   1188MiB / 15109MiB |     26%      Default |
| N/A   40C    P0    27W /  70W |   1188MiB / 15109MiB |     50%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
| N/A   40C    P0    26W /  70W |   1188MiB / 15109MiB |      0%      Default |
