| N/A   59C    P8    27W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   60C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   60C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   59C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   60C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   59C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   59C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   59C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   59C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   59C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   59C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    28W / 149W |      7MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    46W / 149W |     73MiB / 11441MiB |      1%      Default |
| N/A   59C    P0    56W / 149W |     97MiB / 11441MiB |      2%      Default |
| N/A   60C    P0    61W / 149W |    133MiB / 11441MiB |      4%      Default |
| N/A   60C    P0    62W / 149W |    150MiB / 11441MiB |      7%      Default |
| N/A   60C    P0    63W / 149W |    170MiB / 11441MiB |      3%      Default |
| N/A   60C    P0    63W / 149W |   2711MiB / 11441MiB |      7%      Default |
| N/A   60C    P0    74W / 149W |   7717MiB / 11441MiB |     68%      Default |
| N/A   60C    P0    79W / 149W |   8614MiB / 11441MiB |     68%      Default |
| N/A   60C    P0    85W / 149W |   9569MiB / 11441MiB |     76%      Default |
| N/A   60C    P0    76W / 149W |   9569MiB / 11441MiB |     91%      Default |
| N/A   60C    P0    70W / 149W |   9569MiB / 11441MiB |     31%      Default |
| N/A   60C    P0    70W / 149W |   9569MiB / 11441MiB |     14%      Default |
| N/A   60C    P0    70W / 149W |   9569MiB / 11441MiB |     15%      Default |
| N/A   60C    P0    69W / 149W |   9569MiB / 11441MiB |     15%      Default |
| N/A   60C    P0    69W / 149W |   9569MiB / 11441MiB |     32%      Default |
| N/A   61C    P0    75W / 149W |   9881MiB / 11441MiB |     32%      Default |
| N/A   61C    P0    88W / 149W |   9569MiB / 11441MiB |     66%      Default |
| N/A   61C    P0    99W / 149W |   9569MiB / 11441MiB |     57%      Default |
