| N/A   58C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    28W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    29W / 149W |      3MiB / 11441MiB |      0%      Default |
| N/A   58C    P0    29W / 149W |     58MiB / 11441MiB |      1%      Default |
| N/A   58C    P0    53W / 149W |     80MiB / 11441MiB |      3%      Default |
| N/A   58C    P0    58W / 149W |    108MiB / 11441MiB |      3%      Default |
| N/A   58C    P0    60W / 149W |    132MiB / 11441MiB |      3%      Default |
| N/A   58C    P0    61W / 149W |    153MiB / 11441MiB |      4%      Default |
| N/A   58C    P0    61W / 149W |    173MiB / 11441MiB |      6%      Default |
| N/A   58C    P0    61W / 149W |   4581MiB / 11441MiB |      7%      Default |
| N/A   58C    P0    74W / 149W |   8035MiB / 11441MiB |     44%      Default |
| N/A   58C    P0    77W / 149W |  10816MiB / 11441MiB |     84%      Default |
| N/A   59C    P0    90W / 149W |   9569MiB / 11441MiB |     91%      Default |
| N/A   59C    P0    69W / 149W |   9569MiB / 11441MiB |     59%      Default |
| N/A   58C    P0    66W / 149W |   9569MiB / 11441MiB |     16%      Default |
| N/A   58C    P0    65W / 149W |   9569MiB / 11441MiB |     16%      Default |
| N/A   58C    P0    64W / 149W |   9569MiB / 11441MiB |     16%      Default |
| N/A   58C    P0    64W / 149W |   9569MiB / 11441MiB |     17%      Default |
| N/A   58C    P0    70W / 149W |   9881MiB / 11441MiB |     11%      Default |
| N/A   59C    P0    86W / 149W |   9569MiB / 11441MiB |     70%      Default |
| N/A   59C    P0    84W / 149W |   9569MiB / 11441MiB |     74%      Default |
| N/A   59C    P0    93W / 149W |   9722MiB / 11441MiB |     56%      Default |
| N/A   60C    P0   115W / 149W |   9646MiB / 11441MiB |     66%      Default |
| N/A   59C    P0   104W / 149W |   9646MiB / 11441MiB |     66%      Default |
| N/A   60C    P0   111W / 149W |   9569MiB / 11441MiB |     58%      Default |
| N/A   60C    P0   117W / 149W |   9569MiB / 11441MiB |     47%      Default |
| N/A   60C    P0   102W / 149W |   9569MiB / 11441MiB |     48%      Default |
| N/A   60C    P0    83W / 149W |   9569MiB / 11441MiB |      3%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    72W / 149W |   9569MiB / 11441MiB |      0%      Default |
| N/A   60C    P0   107W / 149W |  10547MiB / 11441MiB |     27%      Default |
| N/A   60C    P0   143W / 149W |  10547MiB / 11441MiB |    100%      Default |
| N/A   61C    P0   177W / 149W |  10547MiB / 11441MiB |    100%      Default |
| N/A   61C    P0   148W / 149W |  10547MiB / 11441MiB |     99%      Default |
| N/A   61C    P0   146W / 149W |  10547MiB / 11441MiB |     99%      Default |
