| N/A   58C    P8    30W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    30W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    30W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    30W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    32W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    32W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    32W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    32W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    32W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P8    32W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   58C    P0    33W / 149W |     10MiB / 11441MiB |      0%      Default |
| N/A   58C    P0    54W / 149W |     74MiB / 11441MiB |      1%      Default |
| N/A   58C    P0    71W / 149W |     99MiB / 11441MiB |      3%      Default |
| N/A   58C    P0    73W / 149W |    131MiB / 11441MiB |      7%      Default |
| N/A   59C    P0    74W / 149W |    153MiB / 11441MiB |      4%      Default |
| N/A   59C    P0    74W / 149W |    173MiB / 11441MiB |      4%      Default |
| N/A   59C    P0    78W / 149W |    324MiB / 11441MiB |      4%      Default |
| N/A   59C    P0    83W / 149W |    417MiB / 11441MiB |     38%      Default |
| N/A   59C    P0    79W / 149W |    410MiB / 11441MiB |     43%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    73W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   59C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   60C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    94W / 149W |    410MiB / 11441MiB |     71%      Default |
| N/A   61C    P0    85W / 149W |    410MiB / 11441MiB |     33%      Default |
| N/A   61C    P0    79W / 149W |    410MiB / 11441MiB |     33%      Default |
| N/A   61C    P0    76W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   61C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    74W / 149W |    410MiB / 11441MiB |      1%      Default |
| N/A   63C    P0    97W / 149W |    410MiB / 11441MiB |      1%      Default |
| N/A   63C    P0    88W / 149W |    410MiB / 11441MiB |     95%      Default |
| N/A   62C    P0    80W / 149W |    410MiB / 11441MiB |     10%      Default |
| N/A   63C    P0    76W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   62C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   63C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    410MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |    182MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    76W / 149W |      0MiB / 11441MiB |     16%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |     13%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   64C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
| N/A   65C    P0    75W / 149W |      0MiB / 11441MiB |      0%      Default |
